ncbiprotein,abundance
AXY47677.1,7596
AXY45560.1,2456
AXY46266.1,2859
AXY47672.1,5815
AXY48870.1,4851
AXY46903.1,51584
AXY47581.1,4445
AXY48412.1,4615
AXY46850.1,33338
AXY47049.1,3633
AXY45476.1,469
AXY47550.1,5703
AXY48246.1,1706
AXY44378.1,3501
AXY46612.1,4939
AXY47673.1,9057
AXY47036.1,2199
AXY48720.1,33670
AXY46819.1,24156
AXY48440.1,1296
AXY44591.1,8902
AXY47100.1,28173
AXY44529.1,1352
AXY48505.1,128
AXY44645.1,1180
AXY45443.1,10158
AXY46229.1,8325
AXY47015.1,496
AXY47015.1,6
AXY45344.1,1148
AXY47120.1,4601
AXY48244.1,2083
AXY47183.1,995
AXY44617.1,1158
AXY45515.1,3870
AXY45881.1,40039
AXY44675.1,6343
AXY45554.1,24510
AXY49174.1,5755
AXY47099.1,4393
AXY45329.1,934
AXY45720.1,3011
AXY44697.1,47083
AXY47095.1,2728
AXY46796.1,613
AXY48903.1,595
AXY45332.1,935
AXY46958.1,17828
AXY47625.1,2711
AXY47625.1,13
AXY46654.1,589
AXY46654.1,116
AXY45165.1,608
AXY46025.1,282
AXY48240.1,9671
AXY48146.1,2435
AXY48458.1,119680
AXY46816.1,4025
AXY46816.1,1
AXY45286.1,560
AXY45540.1,13683
AXY46472.1,135
AXY46821.1,14552
AXY45721.1,3317
AXY45903.1,12499
AXY45516.1,11237
AXY48059.1,2769
AXY45068.1,14100
AXY45180.1,3223
AXY46515.1,22968
AXY47103.1,421
AXY47103.1,151
AXY46283.1,53138
AXY47711.1,873
AXY45880.1,20049
AXY45441.1,73308
AXY45715.1,1520
AXY46940.1,173
AXY48220.1,1344
AXY47556.1,10629
AXY47381.1,1076
AXY47552.1,14609
AXY47674.1,12596
AXY47921.1,1474
AXY47129.1,2142
AXY47367.1,8888
AXY46848.1,1199
AXY45187.1,575
AXY47605.1,523
AXY45429.1,2561
AXY45164.1,157
AXY45129.1,4939
AXY48687.1,2775
AXY48648.1,4485
AXY47053.1,2883
AXY48197.1,1154
AXY48436.1,6985
AXY48248.1,6213
AXY48249.1,6924
AXY46303.1,1810
AXY45368.1,13467
AXY47851.1,86
AXY45128.1,1413
AXY47294.1,6863
AXY45740.1,960
AXY48889.1,1090
AXY46267.1,2965
AXY46763.1,1823
AXY44439.1,528
AXY48245.1,2481
AXY46678.1,2656
AXY48111.1,356
AXY46099.1,4884
AXY47744.1,3825
AXY49094.1,192
AXY45365.1,737
AXY48416.1,18150
AXY45477.1,1446
AXY46634.1,260
AXY44766.1,1234
AXY47118.1,3720
AXY45602.1,1416
AXY44881.1,11402
AXY48247.1,5252
AXY46449.1,1147
AXY48121.1,374
AXY48317.1,202
AXY47814.1,601
AXY44654.1,3939
AXY45739.1,36150
AXY45895.1,3883
AXY47531.1,2764
AXY45533.1,3155
AXY47926.1,470
AXY47057.1,445
AXY46065.1,1052
AXY48124.1,43
AXY48034.1,2423
AXY48437.1,24017
AXY48916.1,5014
AXY47132.1,903
AXY46464.1,274
AXY47004.1,1448
AXY46662.1,570
AXY46836.1,5038
AXY48716.1,1933
AXY46411.1,3919
AXY47623.1,2763
AXY48887.1,5377
AXY45862.1,337
AXY47029.1,343
AXY48187.1,4936
AXY46556.1,986
AXY45330.1,393
AXY46684.1,2898
AXY45451.1,3914
AXY45267.1,33621
AXY46683.1,172
AXY47530.1,1012
AXY44768.1,1902
AXY47007.1,7438
AXY46232.1,1087
AXY44733.1,2291
AXY48047.1,5283
AXY48265.1,6678
AXY45899.1,1295
AXY47035.1,4385
AXY47508.1,274
AXY45624.1,718
AXY48695.1,662
AXY47927.1,93
AXY49147.1,988
AXY48867.1,1619
AXY48841.1,2645
AXY45592.1,296
AXY47062.1,676
AXY45872.1,11353
AXY45130.1,2160
AXY48279.1,1802
AXY44763.1,2379
AXY46488.1,13769
AXY45625.1,599
AXY46501.1,172
AXY47867.1,944
AXY47866.1,680
AXY48003.1,2616
AXY48493.1,501
AXY46385.1,3413
AXY46817.1,409
AXY48110.1,2333
AXY45525.1,590
AXY48439.1,593
AXY45861.1,369
AXY47529.1,135
AXY46921.1,1726
AXY45502.1,23305
AXY49171.1,7428
AXY47050.1,2145
AXY47258.1,110
AXY47725.1,10996
AXY45058.1,4025
AXY47861.1,2408
AXY47628.1,441
AXY45355.1,10759
AXY45343.1,3062
AXY44528.1,498
AXY46820.1,2307
AXY46986.1,13
AXY45653.1,6890
AXY46066.1,328
AXY47758.1,29884
AXY46245.1,650
AXY46863.1,1009
AXY46863.1,41
AXY45438.1,290
AXY45654.1,550
AXY47715.1,2909
AXY46929.1,929
AXY47991.1,298
AXY47683.1,43
AXY46663.1,725
AXY45478.1,754
AXY48825.1,66
AXY48202.1,266
AXY47094.1,2115
AXY48447.1,1545
AXY46830.1,1766
AXY47579.1,3082
AXY49084.1,140
AXY47154.1,1770
AXY48323.1,6759
AXY44520.1,1938
AXY44519.1,2977
AXY46622.1,1788
AXY46118.1,802
AXY48033.1,282
AXY48275.1,757
AXY48145.1,58487
AXY45496.1,7595
AXY48400.1,4439
AXY48171.1,1349
AXY47539.1,80
AXY48677.1,2120
AXY47994.1,198
AXY48267.1,1240
AXY48266.1,12056
AXY47528.1,1162
AXY45492.1,8188
AXY47930.1,3065
AXY45603.1,2076
AXY45864.1,662
AXY48886.1,4387
AXY47580.1,9256
AXY46512.1,2647
AXY44765.1,81
AXY45292.1,14
AXY46997.1,21660
AXY48270.1,621
AXY48108.1,1475
AXY47247.1,493
AXY48681.1,1917
AXY48679.1,4675
AXY45183.1,14176
AXY47661.1,631
AXY48268.1,369
AXY45421.1,497
AXY44530.1,914
AXY44637.1,939
AXY48828.1,754
AXY47354.1,944
AXY45179.1,25
AXY46507.1,113
AXY48417.1,2056
AXY45060.1,2203
AXY45059.1,3447
AXY48707.1,3341
AXY44396.1,82
AXY45601.1,1584
AXY48376.1,1927
AXY48888.1,1025
AXY47624.1,4588
AXY46056.1,167
AXY44400.1,313
AXY46300.1,1097
AXY46300.1,663
AXY47852.1,3370
AXY46702.1,252
AXY45066.1,1637
AXY48495.1,5306
AXY45506.1,60
AXY45448.1,705
AXY44596.1,252
AXY47637.1,512
AXY46685.1,189
AXY46657.1,49
AXY48678.1,3385
AXY47695.1,2579
AXY47694.1,1286
AXY45907.1,1279
AXY45444.1,33524
AXY46485.1,240
AXY47473.1,395
AXY44863.1,35
AXY45202.1,301
AXY45125.1,580
AXY45125.1,1960
AXY45125.1,17
AXY45125.1,75
AXY45125.1,5
AXY45125.1,171
AXY47224.1,580
AXY47224.1,1960
AXY47224.1,17
AXY47224.1,75
AXY47224.1,5
AXY47224.1,171
AXY44969.1,426
AXY47657.1,1145
AXY45357.1,771
AXY48054.1,363
AXY47052.1,6391
AXY44608.1,881
AXY46641.1,553
AXY47028.1,1916
AXY46062.1,2128
AXY44680.1,708
AXY45716.1,1300
AXY45719.1,1861
AXY45797.1,333
AXY45061.1,2794
AXY48383.1,258
AXY45290.1,164
AXY46822.1,7700
AXY47936.1,551
AXY48114.1,1503
AXY46864.1,635
AXY46864.1,27
AXY45742.1,64
AXY47290.1,239
AXY44492.1,1891
AXY47280.1,374
AXY44641.1,519
AXY45455.1,489
AXY47339.1,917
AXY48650.1,2666
AXY46044.1,769
AXY47954.1,140
AXY45361.1,1660
AXY45389.1,472
AXY47279.1,1620
AXY49005.1,150
AXY46058.1,150
AXY46937.1,244
AXY48201.1,550
AXY46162.1,143
AXY48826.1,340
AXY44735.1,341
AXY47350.1,99
AXY48863.1,2304
AXY47338.1,134
AXY47051.1,1718
AXY45447.1,1533
AXY45494.1,3589
AXY46608.1,309
AXY46043.1,184
AXY44595.1,508
AXY49177.1,804
AXY46609.1,367
AXY45331.1,748
AXY46823.1,8988
AXY45555.1,149
AXY44921.1,628
AXY46255.1,1635
AXY45262.1,146
AXY45531.1,821
AXY46815.1,305
AXY47712.1,154
AXY44626.1,1158
AXY45853.1,1421
AXY46949.1,4138
AXY44598.1,266
AXY44597.1,628
AXY44592.1,48939
AXY47710.1,91
AXY47643.1,435
AXY47638.1,530
AXY46939.1,425
AXY46939.1,18
AXY44536.1,197
AXY45386.1,23
AXY45385.1,24
AXY46877.1,224
AXY48261.1,368
AXY48098.1,1861
AXY48132.1,193
AXY45285.1,1335
AXY48620.1,1020
AXY49049.1,2758
AXY45543.1,1439
AXY45504.1,2544
AXY48908.1,1507
AXY45374.1,798
AXY48812.1,51
AXY45399.1,67
AXY47622.1,5119
AXY48367.1,3029
AXY47551.1,594
AXY49070.1,2112
AXY46762.1,1075
AXY48382.1,316
AXY48874.1,144
AXY48373.1,9359
AXY47349.1,8350
AXY48250.1,344
AXY48002.1,957
AXY48334.1,3469
AXY46680.1,126
AXY46784.1,511
AXY46801.1,1687
AXY47682.1,1034
AXY48134.1,243
AXY47685.1,3642
AXY47005.1,1357
AXY49009.1,434
AXY44696.1,1301
AXY46441.1,31
AXY45879.1,2854
AXY48288.1,366
AXY48166.1,437
AXY44580.1,746
AXY46938.1,643
AXY46483.1,135
AXY48200.1,282
AXY48198.1,1268
AXY46633.1,48
AXY46486.1,111
AXY47131.1,87
AXY46834.1,18
AXY46834.1,0
AXY46635.1,94
AXY45173.1,257
AXY47684.1,1285
AXY45102.1,192
AXY45287.1,449
AXY47366.1,19076
AXY47375.1,805
AXY47375.1,149
AXY47098.1,2687
AXY47679.1,1780
AXY45124.1,128
AXY47629.1,1533
AXY46509.1,203
AXY48875.1,57
AXY45539.1,9431
AXY46671.1,148
AXY45333.1,305
AXY46818.1,10112
AXY47275.1,37
AXY48973.1,65
AXY47662.1,167
AXY44979.1,14
AXY47181.1,40
AXY48427.1,546
AXY46694.1,49
AXY46442.1,561
AXY47732.1,72
AXY48135.1,142
AXY47066.1,275
AXY45360.1,364
AXY47945.1,440
AXY48341.1,539
AXY47603.1,184
AXY48904.1,311
AXY47986.1,7341
AXY45882.1,112
AXY45201.1,56
AXY46463.1,65
AXY47925.1,23
AXY47361.1,4
AXY46493.1,15
AXY46493.1,16
AXY49083.1,66
AXY44540.1,253
AXY48042.1,3061
AXY45528.1,11665
AXY47730.1,710
AXY45063.1,2121
AXY45062.1,1575
AXY47959.1,549
AXY45756.1,37
AXY45926.1,86
AXY46847.1,2609
AXY44880.1,987
AXY47199.1,16
AXY44446.1,62
AXY45897.1,1283
AXY46682.1,181
AXY47039.1,54
AXY46417.1,3
AXY45585.1,901
AXY46059.1,368
AXY46713.1,14
AXY46087.1,610
AXY46254.1,1083
AXY46086.1,447
AXY46887.1,247
AXY47762.1,91
AXY47502.1,165
AXY48133.1,92
AXY46891.1,276
AXY47364.1,65
AXY47760.1,1090
AXY46139.1,435
AXY47644.1,511
AXY45669.1,55
AXY48948.1,102
AXY45210.1,1782
AXY44501.1,90
AXY49150.1,2067
AXY47739.1,4930
AXY45821.1,52
AXY45570.1,645
AXY44837.1,556
AXY47996.1,25
AXY46113.1,371
AXY46484.1,331
AXY45291.1,53
AXY44859.1,199
AXY48827.1,95
AXY45200.1,172
AXY45126.1,6458
AXY45127.1,5671
AXY46649.1,10
AXY48419.1,950
AXY47862.1,3383
AXY48091.1,227
AXY48183.1,143
AXY47577.1,42
AXY46435.1,305
AXY44620.1,300
AXY45487.1,74
AXY45064.1,1029
AXY45817.1,726
AXY48645.1,813
AXY47680.1,1040
AXY46272.1,81
AXY46508.1,220
AXY48710.1,249
AXY45161.1,118
AXY48217.1,8651
AXY48269.1,151
AXY45758.1,41
AXY48473.1,1
AXY48976.1,566
AXY49152.1,9
AXY46861.1,116
AXY47720.1,2180
AXY48423.1,152
AXY46060.1,819
AXY48414.1,437
AXY48109.1,29517
AXY45753.1,59
AXY48278.1,352
AXY46900.1,854
AXY45714.1,834
AXY46548.1,208
AXY44572.1,4213
AXY49000.1,346
AXY48411.1,189
AXY46856.1,20951
AXY45688.1,24
AXY44579.1,71
AXY48813.1,28
AXY47278.1,14
AXY49175.1,108
AXY46779.1,9
AXY48037.1,7
AXY46269.1,7
AXY46302.1,2574
AXY49062.1,27
AXY48287.1,139
AXY46233.1,223
AXY45312.1,558
AXY48296.1,316
AXY44557.1,302
AXY47572.1,160
AXY49037.1,116
AXY47985.1,194
AXY44888.1,109
AXY44764.1,3635
AXY45594.1,124
AXY46189.1,9
AXY47014.1,187
AXY46589.1,547
AXY49096.1,85
AXY49096.1,19
AXY46640.1,23
AXY45442.1,24850
AXY47230.1,268
AXY47284.1,48
AXY46711.1,437
AXY48684.1,204
AXY45507.1,31
AXY45914.1,677
AXY46673.1,400
AXY46673.1,41
AXY44685.1,554
AXY47442.1,42
AXY47442.1,26
AXY45337.1,100
AXY45412.1,93
AXY44662.1,44
AXY48321.1,698
AXY48342.1,67
AXY48952.1,67
AXY45643.1,29
AXY44397.1,24
AXY46985.1,4
AXY46674.1,327
AXY45327.1,294
AXY48398.1,77
AXY48399.1,60
AXY47600.1,57
AXY44749.1,1051
AXY48434.1,65
AXY44593.1,516
AXY49111.1,415
AXY46972.1,131
AXY47164.1,84
AXY44466.1,97
AXY45208.1,55
AXY45340.1,1220
AXY45453.1,39
AXY48017.1,306
AXY45656.1,159
AXY48688.1,19
AXY46812.1,113
AXY46524.1,12
AXY46676.1,4265
AXY47343.1,687
AXY44570.1,6421
AXY47636.1,11
AXY47740.1,974
AXY47741.1,31
AXY47355.1,353
AXY47642.1,92
AXY47982.1,1329
AXY46251.1,84
AXY45163.1,118
AXY46686.1,62
AXY46860.1,140
AXY47085.1,147
AXY47967.1,201
AXY44389.1,224
AXY48835.1,186
AXY45710.1,1486
AXY48291.1,440
AXY48289.1,72
AXY47597.1,295
AXY45350.1,1182
AXY46955.1,77
AXY45581.1,30
AXY44625.1,63
AXY48298.1,458
AXY49082.1,177
AXY46432.1,524
AXY47360.1,30
AXY45425.1,122
AXY48092.1,3610
AXY45640.1,14
AXY48689.1,1990
AXY44567.1,1966
AXY45065.1,1903
AXY45352.1,142
AXY45645.1,786
AXY47334.1,6
AXY46591.1,37
AXY47013.1,184
AXY46944.1,106
AXY46620.1,31
AXY48406.1,1
AXY47274.1,165
AXY46862.1,111
AXY48922.1,23
AXY48517.1,7
AXY44998.1,69
AXY45538.1,1451
AXY47975.1,22
AXY44646.1,39
AXY46431.1,738
AXY47767.1,282
AXY45661.1,87
AXY44601.1,313
AXY47397.1,11
AXY48277.1,6
AXY46339.1,42
AXY47394.1,14
AXY48144.1,130
AXY47648.1,131
AXY46340.1,1409
AXY47063.1,67
AXY48180.1,307
AXY46098.1,139
AXY45481.1,2491
AXY45711.1,67
AXY48025.1,239
AXY48680.1,28944
AXY47585.1,59
AXY47576.1,224
AXY48877.1,10
AXY47557.1,47
AXY45445.1,52
AXY47134.1,154
AXY48290.1,6
AXY48340.1,94
AXY45136.1,28
AXY45871.1,35
AXY45865.1,17
AXY45761.1,3
AXY47016.1,46
AXY46270.1,22
AXY45665.1,10
AXY46487.1,76
AXY47238.1,12
AXY46504.1,29
AXY46636.1,1
AXY46967.1,19
AXY47929.1,211
AXY45505.1,459
AXY45806.1,383
AXY45641.1,43
AXY47961.1,680
AXY45293.1,4
AXY45755.1,66
AXY47535.1,188
AXY46159.1,58
AXY48508.1,77
AXY48377.1,588
AXY46884.1,362
AXY45464.1,32
AXY48322.1,34
AXY47761.1,316
AXY46143.1,34
AXY48368.1,44
AXY44878.1,375
AXY47907.1,8
AXY47907.1,85
AXY48852.1,0
AXY46503.1,195
AXY48469.1,118
AXY47239.1,15
AXY46051.1,148
AXY46853.1,60
AXY48060.1,55
AXY44769.1,71
AXY47948.1,36
AXY48815.1,107
AXY44438.1,26
AXY47257.1,199
AXY48336.1,135
AXY45186.1,129
AXY46096.1,170
AXY47935.1,52
AXY48343.1,7
AXY46252.1,203
AXY47382.1,73
AXY47383.1,89
AXY47584.1,7
AXY47213.1,51
AXY46802.1,91
AXY46803.1,21
AXY46444.1,62
AXY45197.1,7
AXY47398.1,2
AXY48931.1,116
AXY48131.1,77
AXY47713.1,46
AXY48879.1,55
AXY47596.1,2
AXY47941.1,5
AXY44771.1,22
AXY45631.1,482
AXY47106.1,3
AXY46418.1,10
AXY45459.1,76
AXY47738.1,85
AXY45772.1,24
AXY47064.1,55
AXY47640.1,81
AXY46896.1,21
AXY49035.1,15
AXY46866.1,79
AXY46696.1,31
AXY46078.1,43
AXY45666.1,4
AXY47656.1,71
AXY44999.1,83
AXY47533.1,62
AXY45311.1,17
AXY47690.1,665
AXY44555.1,85
AXY48195.1,31
AXY46420.1,30
AXY45314.1,2
AXY48297.1,1168
AXY47537.1,16
AXY44860.1,138
AXY47474.1,20
AXY44651.1,505
AXY48050.1,46
AXY46193.1,6
AXY45822.1,19
AXY46583.1,11
AXY46727.1,1
AXY45101.1,513
AXY49077.1,3161
AXY46704.1,22
AXY46755.1,5
AXY44673.1,271
AXY45843.1,5
AXY46331.1,121
AXY47664.1,200
AXY47333.1,180
AXY47745.1,6
AXY48070.1,168
AXY48184.1,82
AXY46510.1,71
AXY46412.1,152
AXY48872.1,46
AXY47265.1,53
AXY46294.1,204
AXY48854.1,1
AXY45334.1,437
AXY45328.1,133
AXY46825.1,1155
AXY48251.1,43
AXY46049.1,5
AXY44472.1,17
AXY45827.1,9
AXY46865.1,29
AXY47733.1,31
AXY48511.1,10
AXY48380.1,54
AXY49165.1,20
AXY44599.1,395
AXY46459.1,68
AXY47515.1,1
AXY45708.1,161
AXY48357.1,27
AXY48683.1,13
AXY45338.1,59
AXY46614.1,1
AXY47595.1,45
AXY45623.1,10
AXY48030.1,68
AXY46690.1,4
AXY44699.1,30
AXY48084.1,25
AXY48136.1,18
AXY46456.1,9
AXY48122.1,5
AXY48413.1,26
AXY47719.1,21
AXY45449.1,39
AXY47759.1,602
AXY47186.1,0
AXY48127.1,12
AXY48808.1,36
AXY44559.1,54
AXY45450.1,260
AXY45589.1,257
AXY47151.1,15
AXY47286.1,15
AXY46238.1,8
AXY48190.1,47
AXY47639.1,20
AXY45067.1,10
AXY44406.1,76
AXY44778.1,9
AXY48703.1,9
AXY45850.1,17
AXY48676.1,51
AXY46966.1,6
AXY45815.1,6
AXY47086.1,31
AXY48048.1,19
AXY48178.1,40
AXY48262.1,60
AXY47988.1,103
AXY46697.1,62
AXY47703.1,214
AXY45722.1,283
AXY45137.1,3
AXY45866.1,63
AXY48464.1,869
AXY47211.1,35
AXY45664.1,0
AXY44534.1,1
AXY46780.1,0
AXY46781.1,12
AXY48339.1,110
AXY45759.1,1
AXY48078.1,6
AXY47128.1,1
AXY44734.1,110
AXY48355.1,17
AXY45178.1,1
AXY46835.1,6
AXY47362.1,15
AXY44968.1,34
AXY47311.1,28
AXY46637.1,0
AXY47721.1,2
AXY48869.1,92
AXY47651.1,4
AXY48718.1,46
AXY45769.1,12
AXY46581.1,25
AXY45863.1,648
AXY44728.1,4
AXY46797.1,10
AXY44726.1,36
AXY45917.1,5
AXY45463.1,12
AXY45354.1,104
AXY46530.1,4
AXY47214.1,340
AXY45644.1,30
AXY45212.1,10
AXY48682.1,28
AXY48345.1,72
AXY48873.1,96
AXY45176.1,1
AXY44660.1,5
AXY46984.1,0
AXY45855.1,690
AXY46029.1,33
AXY45294.1,0
AXY47193.1,7
AXY48478.1,1
AXY48001.1,18
AXY46024.1,1
AXY46027.1,0
AXY48472.1,0
AXY45683.1,1
AXY45257.1,1
AXY49142.1,860
AXY48243.1,29
AXY45209.1,17
AXY44471.1,5
AXY46868.1,5
AXY46870.1,30
AXY45484.1,1
AXY48963.1,3
AXY44489.1,1
AXY44712.1,3
AXY46253.1,58
AXY46127.1,0
AXY47898.1,2
AXY47385.1,1
AXY48069.1,39
AXY47176.1,81
AXY45741.1,2
AXY44594.1,5
AXY47520.1,66
AXY44686.1,34
AXY47944.1,2
AXY48024.1,53
AXY48843.1,43
AXY46471.1,13
AXY48809.1,0
AXY46559.1,2
AXY48362.1,142
AXY45349.1,20
AXY45796.1,0
AXY48424.1,14
AXY45373.1,7
AXY45662.1,33
AXY45924.1,0
AXY48174.1,7
AXY45166.1,0
AXY46687.1,8
AXY48816.1,170
AXY46262.1,0
AXY48953.1,2
AXY44571.1,0
AXY45745.1,1
AXY45304.1,6
AXY45569.1,46
AXY47734.1,44
AXY44524.1,39
AXY48894.1,165
AXY46126.1,18
AXY48836.1,6
AXY46876.1,12
AXY47992.1,11
AXY46243.1,82
AXY48169.1,2
AXY46946.1,22
AXY46945.1,12
AXY45001.1,30
AXY45315.1,3
AXY47619.1,18
AXY48351.1,1
AXY47974.1,1
AXY46756.1,1
AXY44468.1,2
AXY44649.1,1
AXY46187.1,3
AXY45615.1,19
AXY46651.1,46
AXY47351.1,0
AXY46879.1,3
AXY44447.1,7
AXY48112.1,91
AXY48085.1,0
AXY44553.1,0
AXY48708.1,30
AXY44879.1,132
AXY46611.1,15
AXY46610.1,49
AXY46532.1,5
AXY48853.1,0
AXY48855.1,0
AXY45325.1,229
AXY45323.1,10
AXY45322.1,20
AXY48384.1,0
AXY47896.1,0
AXY46824.1,286
AXY48000.1,136
AXY46028.1,0
AXY46180.1,30
AXY45828.1,2
AXY48995.1,0
AXY45324.1,2
AXY45301.1,21
AXY44727.1,10
AXY45904.1,1
AXY48640.1,0
AXY46859.1,1
AXY45837.1,44
